locality_name;district_name;province_name
Tres Algarrobos (Est. Cuenca);Carlos Tejedor;Provincia de Buenos Aires
Carmen de Areco;Carmen de Areco;Provincia de Buenos Aires
Pueblo Gouin;Carmen de Areco;Provincia de Buenos Aires
Tres Sargentos;Carmen de Areco;Provincia de Buenos Aires
Castelli;Castelli;Provincia de Buenos Aires
Centro Guerrero;Castelli;Provincia de Buenos Aires
Colón;Colón;Provincia de Buenos Aires
El Arbolito;Colón;Provincia de Buenos Aires
Pearson;Colón;Provincia de Buenos Aires
Sarasa;Colón;Provincia de Buenos Aires
Bajo Hondo;Coronel de Marina Leonardo Rosales;Provincia de Buenos Aires
Balneario Pehuen Co;Coronel de Marina Leonardo Rosales;Provincia de Buenos Aires
Punta Alta (Est. Almirante Solier) ;Coronel de Marina Leonardo Rosales;Provincia de Buenos Aires
Villa del Mar;Coronel de Marina Leonardo Rosales;Provincia de Buenos Aires
Villa General Arias (Est. Kilómetro 638);Coronel de Marina Leonardo Rosales;Provincia de Buenos Aires
Aparicio;Coronel Dorrego;Provincia de Buenos Aires
Balneario Marisol;Coronel Dorrego;Provincia de Buenos Aires
Coronel Dorrego;Coronel Dorrego;Provincia de Buenos Aires
El Perdido (Est. José A. Guisasola);Coronel Dorrego;Provincia de Buenos Aires
Faro;Coronel Dorrego;Provincia de Buenos Aires
Irene;Coronel Dorrego;Provincia de Buenos Aires
Oriente;Coronel Dorrego;Provincia de Buenos Aires
San Román;Coronel Dorrego;Provincia de Buenos Aires
Coronel Pringles (Est. Pringles);Coronel Pringles;Provincia de Buenos Aires
El Divisorio;Coronel Pringles;Provincia de Buenos Aires
El Pensamiento;Coronel Pringles;Provincia de Buenos Aires
Indio Rico;Coronel Pringles;Provincia de Buenos Aires
Lartigau;Coronel Pringles;Provincia de Buenos Aires
Cascadas;Coronel Suárez;Provincia de Buenos Aires
Coronel Suárez;Coronel Suárez;Provincia de Buenos Aires
Cura Malal;Coronel Suárez;Provincia de Buenos Aires
D Orbigny;Coronel Suárez;Provincia de Buenos Aires
Huanguelén;Coronel Suárez;Provincia de Buenos Aires
Pasman;Coronel Suárez;Provincia de Buenos Aires
San José;Coronel Suárez;Provincia de Buenos Aires
Santa María;Coronel Suárez;Provincia de Buenos Aires
Santa Trinidad;Coronel Suárez;Provincia de Buenos Aires
Villa La Arcadia;Coronel Suárez;Provincia de Buenos Aires
Castilla;Chacabuco;Provincia de Buenos Aires
Chacabuco;Chacabuco;Provincia de Buenos Aires
Los Angeles;Chacabuco;Provincia de Buenos Aires
O Higgins;Chacabuco;Provincia de Buenos Aires
Rawson;Chacabuco;Provincia de Buenos Aires
Chascomús;Chascomús;Provincia de Buenos Aires
Manuel J. Cobo (Est. Lezama);Chascomús;Provincia de Buenos Aires
Villa Parque Girado;Chascomús;Provincia de Buenos Aires
Chivilcoy;Chivilcoy;Provincia de Buenos Aires
Emilio Ayarza;Chivilcoy;Provincia de Buenos Aires
Gorostiaga;Chivilcoy;Provincia de Buenos Aires
La Rica;Chivilcoy;Provincia de Buenos Aires
Moquehuá;Chivilcoy;Provincia de Buenos Aires
Ramón Biaus;Chivilcoy;Provincia de Buenos Aires
San Sebastián;Chivilcoy;Provincia de Buenos Aires
Andant;Daireaux;Provincia de Buenos Aires
Arboledas;Daireaux;Provincia de Buenos Aires
Daireaux;Daireaux;Provincia de Buenos Aires
La Larga;Daireaux;Provincia de Buenos Aires
La Manuela;Daireaux;Provincia de Buenos Aires
Salazar;Daireaux;Provincia de Buenos Aires
Dolores;Dolores;Provincia de Buenos Aires
Sevigne;Dolores;Provincia de Buenos Aires
Ensenada;Ensenada;Provincia de Buenos Aires
Escobar;Escobar;Provincia de Buenos Aires
Puerto Paraná;Escobar;Provincia de Buenos Aires
Esteban Echeverría;Esteban Echeverría;Provincia de Buenos Aires
Arroyo de la Cruz;Exaltación de la Cruz;Provincia de Buenos Aires
Capilla del Señor (Est. Capilla);Exaltación de la Cruz;Provincia de Buenos Aires
Diego Gaynor;Exaltación de la Cruz;Provincia de Buenos Aires
Los Cardales;Exaltación de la Cruz;Provincia de Buenos Aires
Parada Orlando;Exaltación de la Cruz;Provincia de Buenos Aires
Parada Robles - Pavón;Exaltación de la Cruz;Provincia de Buenos Aires
Ezeiza;Ezeiza;Provincia de Buenos Aires
Florencio Varela;Florencio Varela;Provincia de Buenos Aires
La Capilla;Florencio Varela;Provincia de Buenos Aires
Blaquier;Florentino Ameghino;Provincia de Buenos Aires
Florentino Ameghino;Florentino Ameghino;Provincia de Buenos Aires
Porvenir;Florentino Ameghino;Provincia de Buenos Aires
Comandante Nicanor Otamendi;General Alvarado;Provincia de Buenos Aires
Mar del Sur;General Alvarado;Provincia de Buenos Aires
Mechongué;General Alvarado;Provincia de Buenos Aires
Miramar;General Alvarado;Provincia de Buenos Aires
General Alvear;General Alvear;Provincia de Buenos Aires
Arribeños;General Arenales;Provincia de Buenos Aires
Ascensión;General Arenales;Provincia de Buenos Aires
Estación Arenales;General Arenales;Provincia de Buenos Aires
Ferré;General Arenales;Provincia de Buenos Aires
General Arenales;General Arenales;Provincia de Buenos Aires
La Angelita;General Arenales;Provincia de Buenos Aires
La Trinidad;General Arenales;Provincia de Buenos Aires
General Belgrano;General Belgrano;Provincia de Buenos Aires
Gorchs;General Belgrano;Provincia de Buenos Aires
General Guido;General Guido;Provincia de Buenos Aires
Labardén;General Guido;Provincia de Buenos Aires
General Juan Madariaga;General Juan Madariaga;Provincia de Buenos Aires
General La Madrid;General La Madrid;Provincia de Buenos Aires
La Colina;General La Madrid;Provincia de Buenos Aires
Las Martinetas;General La Madrid;Provincia de Buenos Aires
Líbano;General La Madrid;Provincia de Buenos Aires
Pontaut;General La Madrid;Provincia de Buenos Aires
General Hornos;General Las Heras;Provincia de Buenos Aires
General Las Heras (Est. Las Heras);General Las Heras;Provincia de Buenos Aires
La Choza;General Las Heras;Provincia de Buenos Aires
Lozano;General Las Heras;Provincia de Buenos Aires
Plomer;General Las Heras;Provincia de Buenos Aires
Villars;General Las Heras;Provincia de Buenos Aires
Chacras de San Clemente;General Lavalle;Provincia de Buenos Aires
General Lavalle;General Lavalle;Provincia de Buenos Aires
Pavón;General Lavalle;Provincia de Buenos Aires
Barrio Río Salado;General Paz;Provincia de Buenos Aires
Loma Verde;General Paz;Provincia de Buenos Aires
Ranchos;General Paz;Provincia de Buenos Aires
Villanueva  (Ap. Río Salado);General Paz;Provincia de Buenos Aires
Colonia San Ricardo (Est. Iriarte);General Pinto;Provincia de Buenos Aires
General Pinto;General Pinto;Provincia de Buenos Aires
Germania (Est. Mayor José Orellano);General Pinto;Provincia de Buenos Aires
Villa Francia (Est. Coronel Granada);General Pinto;Provincia de Buenos Aires
Villa Roth (Est. Ingeniero Balbín);General Pinto;Provincia de Buenos Aires
Barrio Colinas Verdes;General Pueyrredón;Provincia de Buenos Aires
Barrio El Boquerón;General Pueyrredón;Provincia de Buenos Aires
Barrio El Casal;General Pueyrredón;Provincia de Buenos Aires
Barrio El Coyunco;General Pueyrredón;Provincia de Buenos Aires
Barrio La Gloria;General Pueyrredón;Provincia de Buenos Aires
Barrio Santa Paula;General Pueyrredón;Provincia de Buenos Aires
Batán;General Pueyrredón;Provincia de Buenos Aires
Chapadmalal;General Pueyrredón;Provincia de Buenos Aires
El Marquesado;General Pueyrredón;Provincia de Buenos Aires
Estación Chapadmalal;General Pueyrredón;Provincia de Buenos Aires
Mar del Plata ;General Pueyrredón;Provincia de Buenos Aires
Sierra de los Padres;General Pueyrredón;Provincia de Buenos Aires
Barrio Ruta 24 Kilómetro 10;General Rodríguez;Provincia de Buenos Aires
Country Club Bosque Real - Barrio Morabo;General Rodríguez;Provincia de Buenos Aires
General Rodríguez;General Rodríguez;Provincia de Buenos Aires
General San Martín;General San Martín;Provincia de Buenos Aires
Baigorrita;General Viamonte;Provincia de Buenos Aires
La Delfina;General Viamonte;Provincia de Buenos Aires
Los Toldos;General Viamonte;Provincia de Buenos Aires
San Emilio;General Viamonte;Provincia de Buenos Aires
Zavalía;General Viamonte;Provincia de Buenos Aires
Banderalo;General Villegas;Provincia de Buenos Aires
Cañada Seca ;General Villegas;Provincia de Buenos Aires
Coronel Charlone;General Villegas;Provincia de Buenos Aires
Emilio V. Bunge;General Villegas;Provincia de Buenos Aires
General Villegas (Est. Villegas);General Villegas;Provincia de Buenos Aires
Massey (Est. Elordi);General Villegas;Provincia de Buenos Aires
Pichincha;General Villegas;Provincia de Buenos Aires
Piedritas;General Villegas;Provincia de Buenos Aires
Santa Eleodora;General Villegas;Provincia de Buenos Aires
Santa Regina;General Villegas;Provincia de Buenos Aires
Villa Saboya;General Villegas;Provincia de Buenos Aires
Villa Sauze;General Villegas;Provincia de Buenos Aires
Arroyo Venado;Guaminí;Provincia de Buenos Aires
Casbas;Guaminí;Provincia de Buenos Aires
Garré;Guaminí;Provincia de Buenos Aires
Guaminí;Guaminí;Provincia de Buenos Aires
Laguna Alsina (Est. Bonifacio);Guaminí;Provincia de Buenos Aires
Henderson;Hipólito Yrigoyen;Provincia de Buenos Aires
Herrera Vegas;Hipólito Yrigoyen;Provincia de Buenos Aires
Hurlingham;Hurlingham;Provincia de Buenos Aires
Ituzaingó;Ituzaingó;Provincia de Buenos Aires
José C. Paz;José C. Paz;Provincia de Buenos Aires
Agustín Roca;Junín;Provincia de Buenos Aires
Agustina;Junín;Provincia de Buenos Aires
Balneario Laguna de Gómez;Junín;Provincia de Buenos Aires
Fortín Tiburcio;Junín;Provincia de Buenos Aires
Junín;Junín;Provincia de Buenos Aires
Laplacette;Junín;Provincia de Buenos Aires
Morse;Junín;Provincia de Buenos Aires
Saforcada;Junín;Provincia de Buenos Aires
Las Toninas;La Costa;Provincia de Buenos Aires
Mar de Ajó - San Bernardo;La Costa;Provincia de Buenos Aires
San Clemente del Tuyú;La Costa;Provincia de Buenos Aires
Santa Teresita - Mar del Tuyú;La Costa;Provincia de Buenos Aires
La Matanza;La Matanza;Provincia de Buenos Aires
Lanús;Lanús;Provincia de Buenos Aires
Country Club El Rodeo;La Plata;Provincia de Buenos Aires
Ignacio Correas;La Plata;Provincia de Buenos Aires
La Plata;La Plata;Provincia de Buenos Aires
Lomas de Copello;La Plata;Provincia de Buenos Aires
Ruta Sol;La Plata;Provincia de Buenos Aires
Laprida;Laprida;Provincia de Buenos Aires
Pueblo Nuevo;Laprida;Provincia de Buenos Aires
Pueblo San Jorge;Laprida;Provincia de Buenos Aires
Coronel Boerr;Las Flores;Provincia de Buenos Aires
El Trigo;Las Flores;Provincia de Buenos Aires
Las Flores;Las Flores;Provincia de Buenos Aires
Pardo;Las Flores;Provincia de Buenos Aires
Alberdi Viejo;Leandro N. Alem;Provincia de Buenos Aires
El Dorado;Leandro N. Alem;Provincia de Buenos Aires
Fortín Acha;Leandro N. Alem;Provincia de Buenos Aires
Juan Bautista Alberdi (Est. Alberdi);Leandro N. Alem;Provincia de Buenos Aires
Leandro N. Alem;Leandro N. Alem;Provincia de Buenos Aires
Vedia;Leandro N. Alem;Provincia de Buenos Aires
Arenaza;Lincoln;Provincia de Buenos Aires
Bayauca;Lincoln;Provincia de Buenos Aires
Bermúdez;Lincoln;Provincia de Buenos Aires
Carlos Salas;Lincoln;Provincia de Buenos Aires
Coronel Martínez de Hoz (Ap. Kilómetro 322);Lincoln;Provincia de Buenos Aires
El Triunfo;Lincoln;Provincia de Buenos Aires
Las Toscas;Lincoln;Provincia de Buenos Aires
Lincoln;Lincoln;Provincia de Buenos Aires
Pasteur;Lincoln;Provincia de Buenos Aires
Roberts;Lincoln;Provincia de Buenos Aires
Arenas Verdes;Lobería;Provincia de Buenos Aires
Licenciado Matienzo;Lobería;Provincia de Buenos Aires
Lobería;Lobería;Provincia de Buenos Aires
Pieres;Lobería;Provincia de Buenos Aires
San Manuel;Lobería;Provincia de Buenos Aires
Tamangueyú;Lobería;Provincia de Buenos Aires
Antonio Carboni;Lobos;Provincia de Buenos Aires
Elvira;Lobos;Provincia de Buenos Aires
Laguna de Lobos;Lobos;Provincia de Buenos Aires
Lobos;Lobos;Provincia de Buenos Aires
Salvador María;Lobos;Provincia de Buenos Aires
Lomas de Zamora;Lomas de Zamora;Provincia de Buenos Aires
Barrio Las Casuarinas;Luján;Provincia de Buenos Aires
Carlos Keen;Luján;Provincia de Buenos Aires
Cortines;Luján;Provincia de Buenos Aires
José María Jauregui (Est. Jáuregui);Luján;Provincia de Buenos Aires
Lezica y Torrezuri;Luján;Provincia de Buenos Aires
Luján;Luján;Provincia de Buenos Aires
Olivera;Luján;Provincia de Buenos Aires
Open Door (Est. Dr. Domingo Cabred);Luján;Provincia de Buenos Aires
Torres;Luján;Provincia de Buenos Aires
Atalaya;Magdalena;Provincia de Buenos Aires
General Mansilla (Est. Bartolomé Bavio);Magdalena;Provincia de Buenos Aires
Los Naranjos;Magdalena;Provincia de Buenos Aires
Magdalena;Magdalena;Provincia de Buenos Aires
Roberto J. Payró;Magdalena;Provincia de Buenos Aires
Vieytes;Magdalena;Provincia de Buenos Aires
Las Armas;Maipú;Provincia de Buenos Aires
Maipú;Maipú;Provincia de Buenos Aires
Santo Domingo;Maipú;Provincia de Buenos Aires
Malvinas Argentinas;Malvinas Argentinas;Provincia de Buenos Aires
Coronel Vidal;Mar Chiquita;Provincia de Buenos Aires
General Pirán;Mar Chiquita;Provincia de Buenos Aires
La Armonía;Mar Chiquita;Provincia de Buenos Aires
Mar Chiquita;Mar Chiquita;Provincia de Buenos Aires
Mar de Cobo;Mar Chiquita;Provincia de Buenos Aires
Santa Clara del Mar ;Mar Chiquita;Provincia de Buenos Aires
Vivoratá;Mar Chiquita;Provincia de Buenos Aires
Barrio Santa Rosa;Marcos Paz;Provincia de Buenos Aires
Marcos Paz;Marcos Paz;Provincia de Buenos Aires
Gowland;Mercedes;Provincia de Buenos Aires
Mercedes;Mercedes;Provincia de Buenos Aires
Tomás Jofré;Mercedes;Provincia de Buenos Aires
Merlo;Merlo;Provincia de Buenos Aires
Abbott;Monte;Provincia de Buenos Aires
San Miguel del Monte (Est. Monte);Monte;Provincia de Buenos Aires
Zenón Videla Dorna;Monte;Provincia de Buenos Aires
Balneario Sauce Grande;Monte Hermoso;Provincia de Buenos Aires
Monte Hermoso;Monte Hermoso;Provincia de Buenos Aires
Moreno;Moreno;Provincia de Buenos Aires
Morón;Morón;Provincia de Buenos Aires
José Juan Almeyra;Navarro;Provincia de Buenos Aires
Las Marianas;Navarro;Provincia de Buenos Aires
Navarro;Navarro;Provincia de Buenos Aires
Villa Moll (Est. Moll);Navarro;Provincia de Buenos Aires
Claraz;Necochea;Provincia de Buenos Aires
Costa Bonita;Necochea;Provincia de Buenos Aires
Juan N. Fernández;Necochea;Provincia de Buenos Aires
Necochea - Quequén;Necochea;Provincia de Buenos Aires
Nicanor Olivera (Est. La Dulce);Necochea;Provincia de Buenos Aires
